iter	Passed	Remaining
596	14363	2478
597	14386	2453
598	14424	2432
599	14448	2408
600	14472	2383
601	14496	2359
602	14519	2335
603	14543	2311
604	14567	2287
605	14589	2263
606	14613	2239
607	14637	2214
608	14661	2190
609	14684	2166
610	14707	2142
611	14731	2118
612	14755	2094
613	14780	2070
614	14804	2046
615	14828	2022
616	14851	1997
617	14875	1973
618	14900	1949
619	14925	1925
620	14949	1901
621	14972	1877
622	15005	1854
623	15030	1830
624	15053	1806
625	15078	1782
626	15102	1758
627	15126	1734
628	15150	1710
629	15173	1685
630	15198	1661
631	15221	1637
632	15245	1613
633	15269	1589
634	15294	1565
635	15317	1541
636	15342	1517
637	15366	1493
638	15388	1469
639	15412	1444
640	15435	1420
641	15458	1396
642	15482	1372
643	15506	1348
644	15528	1324
645	15551	1299
646	15575	1275
647	15598	1251
648	15623	1227
649	15645	1203
650	15668	1179
651	15692	1155
652	15716	1131
653	15740	1107
654	15763	1082
655	15787	1058
656	15812	1034
657	15835	1010
658	15859	986
659	15882	962
660	15907	938
661	15931	914
662	15955	890
663	15979	866
664	16005	842
665	16030	818
666	16054	794
667	16078	770
668	16101	746
669	16126	722
670	16149	697
671	16171	673
672	16195	649
673	16218	625
674	16242	601
675	16265	577
676	16290	553
677	16313	529
678	16340	505
679	16364	481
680	16389	457
681	16413	433
682	16436	409
683	16462	385
684	16489	361
685	16513	337
686	16538	312
687	16580	289
688	16604	265
689	16628	240
690	16652	216
691	16677	192
692	16700	168
693	16724	144
694	16747	120
695	16772	96
696	16794	72
697	16810	48
698	16834	24
699	16858	0
